Issue id,Summary,Issue Type,Description,Labels,Parent,Status
JD-48,Ragas eval in CI,Task,"Add Ragas retrieval precision and context recall metrics to the CI eval pipeline, blocking deployment if thresholds are not met.

IMPLEMENTATION DETAILS:
- Add ragas as dev dependency in backend/pyproject.toml: uv add --dev ragas
- Extend backend/admin/run_evals.py to include Ragas metrics: ContextPrecision >= 0.80, ContextRecall >= 0.75
- Create evals/rag/eval-set-v1.json with minimum 5 RAG test cases; each case: {question: str, contexts: list[str], ground_truth_answer: str}
- run_evals.py --agent rag --format json writes results to evals/rag/results-{timestamp}.json
- Add eval-regression-rag job to .github/workflows/ci.yml (trigger: push to main only, not on PR)
- Job step: uv run python admin/run_evals.py --agent rag --format json; exit non-zero if any metric below threshold
- Block deploy step (terraform apply) if eval-regression-rag job fails
- Store eval results JSON as CI artifact (upload-artifact step)

EFFORT: M (4 hours)
PROJECT AREA: AI Quality / CI
DEPENDENCIES: JD-45 (RAG agent must exist), JD-39 (CI pipeline from MVP 1.1 must exist)

TESTING CRITERIA:
- Ragas ContextPrecision and ContextRecall computed correctly per eval case
- Threshold enforcement causes CI pipeline failure and blocks deploy
- eval-set-v1.json validates against expected schema (question, contexts, ground_truth_answer)
- Results JSON artifact available for download from GitHub Actions run

EDGE CASES:
- Ragas uses OpenAI API by default for LLM-based metrics — configure to use LiteLLM with ANTHROPIC_API_KEY as alternative; document in evals/rag/README.md
- Eval set must not contain real user CV data — use synthetic test data only","evals,rag,ragas,cicd",JD-E9,
JD-75,require_rag_ready FastAPI dependency,Task,"Implement the require_rag_ready dependency in backend/routers/dependencies.py to enforce CV + profile prerequisites at the API layer before any RAG-dependent endpoint executes.

IMPLEMENTATION DETAILS:
- Create backend/routers/dependencies.py (introduced in MVP 1.1 as stub; fully implemented in MVP 2)
- async def require_rag_ready(db: AsyncSession = Depends(get_db)) -> None:
  - Query CV table for latest record with embedding IS NOT NULL
  - Query UserProfile table for existence of profile record
  - If CV embedding missing: raise HTTPException(status_code=503, detail={code: 'cv_not_ready', message: 'CV embedding is not yet available. Please upload your CV and wait for processing to complete.'})
  - If UserProfile missing: raise HTTPException(status_code=503, detail={code: 'profile_not_ready', message: 'Please complete your profile before using this feature.'})
- Apply as FastAPI Depends on: POST /api/v1/cover-letter/{job_id}, POST /api/v1/question-answer/{job_id}, POST /api/v1/personalise/{job_id}, POST /api/v1/interview-prep/{job_id}
- Document dependency in backend/AGENT.md under API Design Standards

EFFORT: S (2 hours)
PROJECT AREA: Backend / API
DEPENDENCIES: JD-43 (CV model must exist), JD-41 (get_db dependency)

TESTING CRITERIA:
- 503 with code=cv_not_ready returned when CV has no embedding
- 503 with code=profile_not_ready returned when no UserProfile record exists
- Dependency passes (no exception) when both CV embedding and profile are present
- All four RAG-dependent endpoints reject requests correctly when prerequisites unmet

EDGE CASES:
- CV record exists but embedding column is NULL (upload complete but processing failed): treat as not ready
- Race condition between CV processing and first RAG request: 503 is the correct response; client should poll cv/status and retry","backend,api,dependencies",JD-E9,
JD-E7,Eval Framework (DeepEval + Ragas),Epic,"Set up the evaluation framework for AI agent output quality with DeepEval and Ragas integration, an eval runner admin script, and a CI prompt regression gate.

SCOPE: MVP 1.1
PROJECT AREA: AI Quality / Testing
STORIES: 7.1 - 7.3","evals,testing,ai,cicd",,
JD-37,Eval runner script,Task,"Implement backend/admin/run_evals.py (replacing the stub from JD-30) for per-agent eval set execution with field-level output comparison.

IMPLEMENTATION DETAILS:
- CLI: python admin/run_evals.py --agent {name} (required); optional --fast flag to skip LLM-based metrics
- Load eval set from evals/{agent}/eval-set-v1.json; each case shape: {input: str (job HTML snippet), expected_output: Job schema dict}
- For each case: run agent extraction logic against input HTML; compare field-level output to expected_output
- Field-level report: passed_fields/total_fields per case; overall pass rate across all cases
- Exit 1 if pass rate below threshold defined in agent's CONTRACT.md
- Log results as structured JSON via get_logger; also write report to evals/{agent}/last-run.json
- Error handling: missing eval set file → exit 1 with descriptive error; empty eval set → warn and exit 0

EFFORT: M (4 hours)
PROJECT AREA: Backend / Admin
DEPENDENCIES: JD-35, JD-30

TESTING CRITERIA:
- Runs: uv run python admin/run_evals.py --agent linkedin
- Produces per-case field-level pass/fail report with diffs
- Exits 1 when pass rate below CONTRACT.md threshold
- --fast flag skips DeepEval/Ragas LLM metrics and runs field-match only
- Missing eval set exits 1 with descriptive message (not stack trace)

EDGE CASES:
- evals/ directory must be created if absent
- run_evals.py must not import uvicorn or trigger server startup
- last-run.json must be gitignored (output artefact, not source)","evals,testing,backend",JD-E7,
JD-38,DeepEval and Ragas integration,Task,"Wire DeepEval faithfulness and relevance metrics plus Ragas retrieval metrics into the eval runner.

IMPLEMENTATION DETAILS:
- Install as dev dependencies: deepeval, ragas
- DeepEval integration:
  - Use LLMTestCase(input, actual_output, expected_output, retrieval_context) for each eval case
  - Metrics: GEval faithfulness >= threshold from CONTRACT.md (default 0.85); AnswerRelevancyMetric >= 0.80
  - Local-mode fallback: document DEEPEVAL_TELEMETRY_OPT_OUT=YES and offline mode flag
- Ragas integration (stub for MVP 1.1; fully activated in MVP 2 with RAG agent):
  - Create evals/ragas_stub.py with placeholder evaluate() that returns {retrieval_precision: None, context_recall: None} when RAG corpus is not yet ready
  - Document: Ragas metrics (retrieval_precision, context_recall) activated in MVP 2 (JD-E9)
- Create evals/linkedin/eval-set-v1.json with minimum 5 test cases covering: normal listing, missing salary, missing company, truncated description, non-English characters in location
- Create evals/jobserve/eval-set-v1.json with minimum 5 test cases covering equivalent scenarios
- Combined report output: {field_match_rate, deepeval_faithfulness, deepeval_relevancy, ragas_retrieval_precision, ragas_context_recall}

EFFORT: M (5 hours)
PROJECT AREA: AI Quality
DEPENDENCIES: JD-37

TESTING CRITERIA:
- DeepEval metrics run and produce float scores (not None) when API key present
- --fast flag skips DeepEval; report shows null for LLM metrics
- Threshold enforcement causes exit 1
- Both eval-set-v1.json files valid JSON, loadable, and contain >= 5 cases
- Ragas stub returns null values without error when RAG corpus absent

EDGE CASES:
- Document required CI secret names for LLM eval API keys
- Add retry=1 inside eval runner for flaky LLM metric calls (not at CI level)
- eval-set-v1.json must not contain real job data — use synthetic fixtures only","evals,ai,deepeval",JD-E7,
JD-39,CI prompt regression step,Task,"Add eval-regression job to .github/workflows/ci.yml to block deploy if agent output quality drops below threshold.

IMPLEMENTATION DETAILS:
- Add eval-regression job to ci.yml; trigger: on push to main only (not every PR — too slow)
- Steps: checkout, actions/setup-python, install uv, uv sync --dev, run run_evals.py for linkedin, run run_evals.py for jobserve
- Each eval step: uv run python admin/run_evals.py --agent {name} with timeout 10 minutes per agent
- Fail on exit code 1 from run_evals.py
- Upload evals/{agent}/last-run.json as GitHub Actions artifact on both success and failure (for audit trail)
- Required CI secrets documented in ci.yml comments: ANTHROPIC_API_KEY (for DeepEval), OPENAI_API_KEY (optional fallback)
- Use --fast flag in CI to skip LLM metrics when API keys absent (graceful degradation: field-match only)
- Follow reusable workflow patterns: extract eval steps into .github/workflows/eval-regression.yml callable workflow

EFFORT: M (3 hours)
PROJECT AREA: CI/CD
DEPENDENCIES: JD-38, JD-31

TESTING CRITERIA:
- Eval job triggers on push to main
- Build blocked when field-match pass rate drops below threshold
- Artifacts uploaded for both pass and fail runs
- --fast mode runs when ANTHROPIC_API_KEY secret absent (no hard failure on missing key)
- Callable workflow structure allows reuse from other workflows

EDGE CASES:
- LLM eval API rate limits in CI: --fast flag is the mitigation; document in ci.yml
- Eval job must not run on fork PRs (no access to secrets) — add: if: github.event_name == 'push'","cicd,evals,github",JD-E7,
JD-E36,EVAL COVERAGE MATRIX (MVP 3),Epic,"IMPLEMENTATION DETAILS:
Create missing eval sets and prompt directories for MVP 3 agents (Observability). Ensure 100% eval coverage for MVP 3.

EFFORT: S
PROJECT AREA: Testing
DEPENDENCIES: None
TESTING CRITERIA:
- Eval sets created and passing in CI

EDGE CASES:
N/A",MVP3,,
JD-135,Create eval set for Observability,Task,"IMPLEMENTATION DETAILS:
Create evals/observability/eval-set-v1.json using DeepEval + Ragas metrics (faithfulness, relevance, retrieval precision, schema conformance).
Ensure CONTRACT.md 'Eval Set Reference' field points to this file.
Add failed eval cases to the agent's <example> section as negative examples.

EFFORT: S
PROJECT AREA: Testing
DEPENDENCIES: JD-136
TESTING CRITERIA:
- eval-set-v1.json runs successfully via CI run_evals.py
- CONTRACT.md updated with correct Eval Set Reference

EDGE CASES:
N/A",MVP3,JD-E36,
JD-136,Create missing prompt directory for observability/,Task,"IMPLEMENTATION DETAILS:
Create prompts/observability/ directory.
Create all 6 required files (CONTRACT.md, CHANGELOG.md, system.md, skills.md, tools.md, guardrails.md) adhering to XML format. No exceptions.

EFFORT: XS
PROJECT AREA: Prompts
DEPENDENCIES: None
TESTING CRITERIA:
- All 6 files exist in prompts/observability/
- Files adhere to XML prompt structure standard

EDGE CASES:
N/A",MVP3,JD-E36,
JD-E37,EVAL COVERAGE MATRIX (Post-MVP 3),Epic,"IMPLEMENTATION DETAILS:
Create missing eval sets for Post-MVP 3 agents.

EFFORT: S
PROJECT AREA: Testing
DEPENDENCIES: None
TESTING CRITERIA:
- Eval sets created

EDGE CASES:
N/A",Post-MVP3,,
JD-137,Create evals/interview_prep/eval-set-v1.json,Task,"IMPLEMENTATION DETAILS:
Create evals/interview_prep/eval-set-v1.json using DeepEval + Ragas metrics, ensure CONTRACT.md Eval Set Reference points to it, and runs successfully via CI.

EFFORT: S
PROJECT AREA: Testing
DEPENDENCIES: None
TESTING CRITERIA:
- Eval set created and runs successfully via CI

EDGE CASES:
N/A",Post-MVP3,JD-E37,
JD-E28,Agent Communication Protocol,Epic,"IMPLEMENTATION DETAILS:
Implement standard AgentResultEnvelope schema for all agents.

EFFORT: M
PROJECT AREA: Architecture
DEPENDENCIES: None
TESTING CRITERIA:
- All agents return AgentResultEnvelope
- Orchestrator handles routing correctly

EDGE CASES:
Agent raises unhandled exception bypassing envelope",MVP2,,
JD-122,Define AgentResultEnvelope schema,Task,"IMPLEMENTATION DETAILS:
Create Pydantic implementation in backend/schemas/agent_envelope.py.

EFFORT: XS
PROJECT AREA: Schemas
DEPENDENCIES: None
TESTING CRITERIA:
- Schema matches proposal specification exactly

EDGE CASES:
N/A",MVP2,JD-E28,
JD-123,Refactor BaseScrapeAgent to return AgentResultEnvelope,Task,"IMPLEMENTATION DETAILS:
Update BaseScrapeAgent.run() and all existing agents to return the new envelope.

EFFORT: M
PROJECT AREA: Agents
DEPENDENCIES: JD-122
TESTING CRITERIA:
- Existing tests pass with new envelope structure

EDGE CASES:
Type checking errors during refactor",MVP2,JD-E28,
JD-134,Create BaseAgent ABC for non-scraper agents,Task,"IMPLEMENTATION DETAILS:
Create backend/agents/base.py BaseAgent ABC enforcing AgentResultEnvelope return type for all non-scraper agents. Refactor non-scraper agents to inherit from it.

EFFORT: S
PROJECT AREA: Agents
DEPENDENCIES: JD-122
TESTING CRITERIA:
- BaseAgent ABC enforces return type
- Existing non-scraper agents inherit from BaseAgent

EDGE CASES:
Multiple inheritance conflicts",MVP2,JD-E28,
JD-E29,Critic Revision Protocol,Epic,"IMPLEMENTATION DETAILS:
Implement bounded retry loop and Security override.

EFFORT: M
PROJECT AREA: Orchestrator
DEPENDENCIES: JD-E28
TESTING CRITERIA:
- Max 2 retries enforced
- Security override immediately blocks

EDGE CASES:
Critic gets stuck in loop",MVP2,,
