Issue id,Summary,Issue Type,Description,Labels,Parent,Status
JD-26,FilterBar component,Task,"Create frontend/components/FilterBar.tsx with source and keyword client-side filters backed by Zustand.

IMPLEMENTATION DETAILS:
- Props: onFilter: (filters: FilterState) => void
- FilterState type: { sources: string[]; keyword: string }
- Source filter: checkboxes for linkedin and jobserve
- Keyword filter: controlled text input with 300ms debounce using useEffect
- Read/write filter state from Zustand store (lib/store.ts)
- Clear all button resets both filters to defaults

EFFORT: M (3 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24, JD-25

TESTING CRITERIA:
- Keyword filter narrows JobCard list in real time with debounce
- Source checkboxes show/hide jobs by source

EDGE CASES:
- Deselecting all sources shows empty state","frontend,components,filtering",JD-E4,
JD-27,ScrapeButton component,Task,"Create frontend/components/ScrapeButton.tsx triggering POST /api/v1/scrape with in-progress and result states.

IMPLEMENTATION DETAILS:
- useMutation from TanStack Query for POST /api/v1/scrape
- Button labels: 'Scrape Jobs' (idle) | 'Scraping...' (pending) | 'Done' (success)
- Disable button while mutation is pending
- On success: invalidate ['jobs'] query; show MUI Snackbar

EFFORT: M (3 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24, JD-23

TESTING CRITERIA:
- Triggers POST /api/v1/scrape on click
- Pending state disables button and shows spinner

EDGE CASES:
- Double-click prevented: button disabled during pending","frontend,components,api",JD-E4,
JD-24c,OnboardingBanner component,Task,"Create frontend/components/OnboardingBanner.tsx that guides users through profile + CV setup using shared query keys.

IMPLEMENTATION DETAILS:
- Fetch GET /api/v1/profile with TanStack Query key ['profile']
- Fetch GET /api/v1/cv/status with TanStack Query key ['cv-status']
- Render states: 1. profile 404/null; 2. profile exists but cv_status != ready; 3. both ready (render null)
- Query key contract: invalidate ['profile'] or ['cv-status'] on success

EFFORT: S (2 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24

TESTING CRITERIA:
- Banner shows when profile is incomplete
- Banner updates to CV step after profile saved

EDGE CASES:
- Banner must not flash on initial load","frontend,components",JD-E4,
JD-24d,ProfileForm and CVUploadPanel components,Task,"Create frontend/components/ProfileForm.tsx and frontend/components/CVUploadPanel.tsx.

IMPLEMENTATION DETAILS:
ProfileForm.tsx:
- Props: onSubmit: (data: ProfileFormData) => Promise<void>; initialData?: UserProfile
- Fields: full_name, email, target_role, target_location, skills, years_experience
- Validate with Zod schema

CVUploadPanel.tsx:
- Props: currentFilename?: string; onUpload: (file: File) => Promise<void>
- File input accepting .pdf and .docx only
- Poll GET /api/v1/cv/status every 5s until embedding_status = ready

EFFORT: M (4 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24

TESTING CRITERIA:
- ProfileForm Zod validation prevents submit with missing fields
- CVUploadPanel rejects non-PDF/DOCX files

EDGE CASES:
- Form errors must be caught and shown as toast","frontend,components",JD-E4,
JD-24e,SavedJobsList and ApplicationBoard components,Task,"Create frontend/components/SavedJobsList.tsx and frontend/components/ApplicationBoard.tsx.

IMPLEMENTATION DETAILS:
SavedJobsList.tsx:
- Fetches GET /api/v1/jobs/saved
- Loading state: skeleton list
- Empty state message

ApplicationBoard.tsx:
- Kanban-style columns, one per Application.status value
- Status transitions triggered by PATCH /api/v1/applications/{id}

EFFORT: M (4 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24, JD-25

TESTING CRITERIA:
- SavedJobsList shows skeleton during load
- ApplicationBoard renders correct number of columns

EDGE CASES:
- Empty columns still render (no jobs in that status)","frontend,components",JD-E4,
JD-24f,RecruiterCard and AdminPanel components,Task,"Create frontend/components/RecruiterCard.tsx and frontend/components/AdminPanel.tsx.

IMPLEMENTATION DETAILS:
RecruiterCard.tsx:
- Display: name, company, email, interaction_score, notes
- 'Log interaction' button calls POST /api/v1/recruiters/{id}/interaction

AdminPanel.tsx:
- Fetches GET /api/v1/admin/dlq on mount; renders DLQ table
- Fetches GET /api/v1/admin/schedule; renders Pause/Resume buttons

EFFORT: M (3 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24

TESTING CRITERIA:
- RecruiterCard renders all fields
- AdminPanel DLQ table shows entries

EDGE CASES:
- AdminPanel must handle empty DLQ gracefully","frontend,components",JD-E4,
JD-24g,CoverLetterViewer component,Task,"Create frontend/components/CoverLetterViewer.tsx for polling, rendering, and downloading generated cover letters.

IMPLEMENTATION DETAILS:
- Props: job_id: string
- On mount: GET /api/v1/cover-letter/{job_id} with TanStack Query
- Poll every 3s if status = pending or generating
- When ready: render cover letter content
- Two download buttons: 'Download PDF' and 'Download Markdown'

EFFORT: M (3 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24

TESTING CRITERIA:
- Polls every 3s until status = ready
- PDF download creates correct Blob

EDGE CASES:
- Do not render download buttons while status is pending","frontend,components,ai",JD-E4,
JD-24h,Q&A and Consent Modal Components,Task,"Create frontend/components/QuestionAnswerPanel.tsx and frontend/components/ConsentPromptModal.tsx stubs.

IMPLEMENTATION DETAILS:
QuestionAnswerPanel.tsx:
- Props: job_id: string
- Interface for user to type a question. Calls POST /api/v1/question-answer/{job_id}
- Renders the Q&A conversation.

ConsentPromptModal.tsx:
- Props: title, message, onApprove, onDecline
- JIT prompting when an agent requires human-in-the-loop approval.
- MUI Dialog component.

EFFORT: M (3 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24

TESTING CRITERIA:
- QuestionAnswerPanel sends input and renders response.
- ConsentPromptModal renders over the page.

EDGE CASES:
- Both will be fully integrated in MVP 2 and MVP 3, so MVP 1 scope is basic scaffolding and stubs.","frontend,components",JD-E4,
JD-E25,Presenter Role — Progressive Pattern,Epic,"IMPLEMENTATION DETAILS:
Implement progressive Presenter Pattern across MVPs (Inline -> Orchestrator -> Dedicated).

EFFORT: L
PROJECT AREA: Architecture
DEPENDENCIES: None
TESTING CRITERIA:
- Verify inline presenter works for MVP 1
- Verify orchestrator presenter works for MVP 2

EDGE CASES:
N/A",Cross-MVP,,
JD-113,MVP 1 Inline Presenter for Doer Agents,Task,"IMPLEMENTATION DETAILS:
Ensure each Doer agent formats its own output directly as a Pydantic model (zero-refactor future composition).

EFFORT: S
PROJECT AREA: Agents
DEPENDENCIES: None
TESTING CRITERIA:
- Output must be strict Pydantic model
- No raw strings returned

EDGE CASES:
Unexpected tool outputs",MVP1,JD-E25,
JD-114,MVP 2 Orchestrator-as-Presenter,Task,"IMPLEMENTATION DETAILS:
Aggregate multi-agent outputs into a unified response envelope via Orchestrator.

EFFORT: M
PROJECT AREA: Orchestrator
DEPENDENCIES: JD-113
TESTING CRITERIA:
- Verify AgentResultEnvelope.result composition works correctly

EDGE CASES:
Partial agent failures during aggregation",MVP2,JD-E25,
JD-115,Post-MVP 3 Dedicated Presenter (Application Assistant),Task,"IMPLEMENTATION DETAILS:
Implement application_assistant agent to synthesize cover letter, interview prep, and company research into a compound package.

EFFORT: L
PROJECT AREA: Agents
DEPENDENCIES: JD-114
TESTING CRITERIA:
- Compound application package generates correctly with consistent tone and formatting

EDGE CASES:
Missing company research data",Post-MVP3,JD-E25,
JD-E20,Application Workflow & Interview Preparation,Epic,"Implement the Application Assistant Agent and Interview Preparation Intelligence Agent. These were optional post-MVP 3 but are now scheduled for MVP 4. Includes backend agents, API endpoints, and frontend integration.

SCOPE: MVP 4
PROJECT AREA: Backend / AI / Frontend
FILES: backend/agents/application_assistant/, backend/agents/interview_prep/, frontend/app/jobs/[id]/page.tsx, frontend/app/interview-prep/[id]/page.tsx, frontend/app/applications/[id]/page.tsx
STORIES: 89.1 - 142.1","mvp4,ai,application,interview",,
JD-89,Application Assistant Docs,Task,"Create backend/agents/application_assistant/AGENT.md and associated prompts/application_assistant/ structure.

IMPLEMENTATION DETAILS:
- Define agent responsibilities for autonomous job application workflows
- Create CONTRACT.md, CHANGELOG.md, system.md, skills.md, tools.md, and guardrails.md
- Ensure adherence to AI PROMPT ENGINEERING STANDARDS

EFFORT: M (4 hours)
PROJECT AREA: Documentation / AI
DEPENDENCIES: None

TESTING CRITERIA:
- Files exist and follow required templates
- Reference in root AGENT.md","documentation,ai,application",JD-E20,
JD-90,Interview Prep Agent Docs,Task,"Create backend/agents/interview_prep/AGENT.md and associated prompts/interview_prep/ structure.

IMPLEMENTATION DETAILS:
- Define agent responsibilities for fetching company research and generating prep materials
- Create CONTRACT.md, CHANGELOG.md, system.md, skills.md, tools.md, and guardrails.md
- Document workflow rules

EFFORT: M (4 hours)
PROJECT AREA: Documentation / AI
DEPENDENCIES: None

TESTING CRITERIA:
- Files exist and follow required templates
- Reference in root AGENT.md","documentation,ai,interview",JD-E20,
JD-91,Build Application Assistant Agent,Task,"Implement the Autonomous Job Application Assistant Agent in Python.

IMPLEMENTATION DETAILS:
- Create backend/agents/application_assistant/application_agent.py
- Implement execution logic, ReAct loop, and tool usage
- Integrate with API routes and DLQ routing

EFFORT: L (8 hours)
PROJECT AREA: Backend / AI
DEPENDENCIES: JD-89

TESTING CRITERIA:
- Agent runs successfully in tests
- Correctly implements documented skills and guardrails","backend,ai,application",JD-E20,
JD-92,Build Interview Prep Agent,Task,"Implement the Interview Preparation Intelligence Agent.

IMPLEMENTATION DETAILS:
- Create backend/agents/interview_prep/interview_agent.py
- Integrate web search tools for company research
- Implement execution logic and RAG-based answer generation for common interview questions

EFFORT: L (8 hours)
PROJECT AREA: Backend / AI
DEPENDENCIES: JD-90

TESTING CRITERIA:
- Agent generates interview packs
- Correctly retrieves and uses company intelligence","backend,ai,interview",JD-E20,
JD-93,Enable Interview Prep Button,Task,"Finalize the frontend logic for the Interview Prep feature on the Job Detail page.

IMPLEMENTATION DETAILS:
- Update frontend/app/jobs/[id]/page.tsx to fully integrate with the POST /api/v1/interview-prep/{job_id} endpoint
- Handle feature flag feature_interview_prep evaluation to enable the feature
- Handle 503 states and local session blocking gracefully

EFFORT: S (2 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-92

TESTING CRITERIA:
- Button is enabled when feature flag is true
- Clicking triggers the agent process correctly
- 503 errors disable button for the session","frontend,react",JD-E20,
JD-141,Create Interview Prep Viewer UI,Task,"Implement the frontend view for interview intelligence packages.

IMPLEMENTATION DETAILS:
- Create frontend/app/interview-prep/[id]/page.tsx
- Render generated interview intelligence
- Implement export and back navigation
- Implement export fallback handling matching Cover Letter Viewer

EFFORT: M (4 hours)
PROJECT AREA: Frontend / UI
DEPENDENCIES: JD-92

TESTING CRITERIA:
- Page loads with intelligence data
- Export functionality works
- Fallback export is graceful","frontend,react,interview",JD-E20,
JD-142,Application Assistant UI Integration,Task,"Implement the frontend presentation for compound application packages.

IMPLEMENTATION DETAILS:
- Update frontend/app/applications/[id]/page.tsx to display synthesised data from Application Assistant (cover letter + interview prep + company research)
- Present status transitions and application notes
- Trigger UI elements conditionally

EFFORT: M (4 hours)
PROJECT AREA: Frontend / UI
DEPENDENCIES: JD-91

TESTING CRITERIA:
- Application package is fully displayed
- Status transitions function correctly
- Fallback handling is present","frontend,react,application",JD-E20,
JD-143,Eval Sets for MVP 4 Agents,Task,"Create DeepEval+Ragas eval sets for Application Assistant and Interview Prep agents.

IMPLEMENTATION DETAILS:
- Create evals/application_assistant/eval-set-v1.json and evals/interview_prep/eval-set-v1.json
- Ensure CONTRACT.md points to these eval sets
- Add cases to CI checks

EFFORT: M (4 hours)
PROJECT AREA: Backend / AI
DEPENDENCIES: JD-89, JD-90

TESTING CRITERIA:
- Evals run successfully via run_evals.py","backend,ai,eval",JD-E20,
JD-144,Wire MVP 4 Patterns,Task,"Implement cross-cutting patterns: Dedicated Presenter, Interview Prep research wiring, and question bank routing.

IMPLEMENTATION DETAILS:
- Ensure Application Assistant acts as Dedicated Presenter (JD-115)
- Wire Interview Prep research to Presenter (JD-117)
- Connect Interview Prep question bank to Q&A agent (JD-119)

EFFORT: M (4 hours)
PROJECT AREA: Backend / AI
DEPENDENCIES: JD-91, JD-92

TESTING CRITERIA:
- Presenter successfully synthesises compound package
- Research and question bank data flow seamlessly to downstream agents","backend,ai,workflow",JD-E20,
