Issue id,Summary,Issue Type,Description,Labels,Parent,Status
JD-14,Pydantic Settings,Task,"Create backend/settings.py with Pydantic BaseSettings class for typed, validated environment variables.

IMPLEMENTATION DETAILS:
- Inherit from pydantic_settings.BaseSettings
- Typed fields covering full stack: DATABASE_URL (PostgresDsn | None = None), SUPABASE_URL (str | None = None), SUPABASE_ANON_KEY (str | None = None), SUPABASE_SERVICE_ROLE_KEY (str | None = None), OPENAI_API_KEY (str | None = None), ANTHROPIC_API_KEY (str | None = None), LITELLM_API_BASE (str | None = None), REDIS_URL (str = 'redis://localhost:6379'), TEMPORAL_SERVER_URL (str | None = None), OTEL_EXPORTER_OTLP_ENDPOINT (str | None = None), SENTRY_DSN (str | None = None), NEXT_PUBLIC_API_URL (str = '/api/v1'), SINGLE_USER_ID (UUID = '00000000-0000-0000-0000-000000000000')
- MVP 2+ fields default to None so MVP 1 starts without them
- Instantiate settings singleton: settings = Settings()
- Export settings for import by all other modules

EFFORT: S (2 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-13

TESTING CRITERIA:
- App starts cleanly in MVP 1 with only NEXT_PUBLIC_API_URL and SINGLE_USER_ID set
- All field names match .env.example keys exactly
- PostgresDsn validates format at startup when DATABASE_URL is set

EDGE CASES:
- MVP 2+ vars must have defaults (None or sensible value) to avoid breaking MVP 1 startup
- SINGLE_USER_ID must parse as UUID not bare string","backend,configuration",JD-E2,
JD-15,Structured JSON logger,Task,"Create backend/logging_config.py with shared structured JSON logger satisfying Twelve-Factor XI.

IMPLEMENTATION DETAILS:
- Define get_logger(name: str) -> logging.Logger
- Attach StreamHandler(sys.stdout) with a JSONFormatter
- JSONFormatter.format() returns json.dumps({level, agent, message, timestamp}) — timestamp as ISO 8601
- Set log level to INFO
- Guard against duplicate handlers: check logger.handlers before attaching
- All agent and router modules import get_logger from logging_config — zero print() calls anywhere in backend/

EFFORT: S (2 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-13

TESTING CRITERIA:
- Every log line is valid JSON
- Fields level, agent, message, timestamp always present
- No print() calls exist anywhere in backend/
- Calling get_logger() twice with the same name does not duplicate handlers

EDGE CASES:
- structlog is an acceptable alternative to stdlib logging — document choice in logging_config.py header
- dict_tracebacks=True if structlog is used (produces JSON-safe exception tracebacks)","backend,logging,observability",JD-E2,
JD-16,Domain models,Task,"Create backend/models/ with Pydantic v2 domain models covering all MVP 1 entities and MVP 2 shapes.

IMPLEMENTATION DETAILS:
- Job: id (UUID), title (str), company (str), location (str), source (str), url (str), description (str), salary_min (int | None), salary_max (int | None), currency (str = 'GBP'), relevance_score (float | None = None), embedding_status (Literal['pending','processing','ready'] = 'pending'), saved (bool = False), scraped_at (datetime)
- ScrapeResult: results (dict[str, int]), total_inserted (int), duration_seconds (float)
- JobListResponse: total (int), page (int), page_size (int), has_next (bool), next_cursor (str | None), linkedin_count (int), jobserve_count (int), jobs (list[Job])
- UserProfile: id (UUID), full_name (str), email (str), target_role (str), target_location (str), skills (list[str]), years_experience (int), cv_filename (str | None = None), created_at (datetime), updated_at (datetime)
- SavedJob: job_id (UUID), user_id (UUID), saved_at (datetime)
- Application: id (UUID), job_id (UUID), user_id (UUID), status (Literal['draft','applied','awaiting_response','interviewing','offered','rejected','withdrawn']), notes (str | None = None), applied_at (datetime | None = None), created_at (datetime), updated_at (datetime)
- Recruiter: id (UUID), name (str), company (str), email (str | None = None), linkedin_url (str | None = None), interaction_score (int = 0), notes (str | None = None), created_at (datetime)
- All models use Pydantic v2 syntax (model_config = ConfigDict(...)); no v1 class Config
- Also create backend/models/DOMAIN-MODELS.md to document the domain shapes

EFFORT: M (3 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-13

TESTING CRITERIA:
- All fields typed correctly with Pydantic v2 validators
- UUID fields serialise to string in JSON responses
- embedding_status enum rejects invalid values
- Application.status covers all 7 enum values

EDGE CASES:
- Application status transitions are enforced at the service layer, not the model
- salary_min/max are int (pence) not float to avoid floating point rounding","backend,models",JD-E2,
JD-17,Keyword filter,Task,"Create backend/filters.py with keyword-based relevance pre-filtering; supports UserProfile merge in MVP 1.1.

IMPLEMENTATION DETAILS:
- Define DEFAULT_KEYWORDS: list[str] — seniority (senior, lead, principal, architect), stack (Python, FastAPI, Next.js, TypeScript, Azure, AWS, LLM, AI), contract type (contract, freelance, outside IR35)
- Define filter_jobs(jobs: list[Job], keywords: list[str] | None = None) -> list[Job]: match case-insensitively against job.title + job.description; return jobs matching at least one keyword
- Define merge_profile_keywords(profile: UserProfile | None) -> list[str]: returns DEFAULT_KEYWORDS merged with profile.skills and profile.target_role tokens when profile is provided (MVP 1.1 hook — profile arg defaults to None)
- Log filtered count and filter rate via get_logger; warn if filter rate > 90%

EFFORT: S (2 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-16

TESTING CRITERIA:
- Junior roles filtered out
- Permanent-only roles filtered out when contract keywords active
- Custom keyword list overrides defaults
- Filter rate warning logged when > 90% filtered
- merge_profile_keywords returns DEFAULT_KEYWORDS unchanged when profile=None

EDGE CASES:
- Jobs with empty description must not crash filter
- merge_profile_keywords is a no-op stub in MVP 1 — full merge implemented in MVP 1.1 (JD-36)","backend,filtering",JD-E2,
JD-18,File-backed fake DB,Task,"Implement fake_db.json file-backed store in backend/fake_db.py as the explicit MVP 1 persistence layer.

IMPLEMENTATION DETAILS:
- Store jobs as JSON in backend/fake_db.json (gitignored — survives container restarts but not image rebuilds)
- Define load_db() -> dict[str, dict]: reads fake_db.json; returns {} if file absent
- Define save_db(db: dict[str, dict]) -> None: writes atomically to fake_db.json via tempfile + os.replace
- Define add_job(job: Job) -> bool: loads DB, skips if job.url already exists (deduplication), appends, saves; returns True if inserted
- Define get_jobs() -> list[Job]: loads and deserialises all records
- Define get_job(id: str) -> Job | None: loads and returns single record by id
- Define clear_jobs() -> None: dev-only; truncates fake_db.json
- Add module comment: # MVP 1 ONLY — replaced by Supabase asyncpg repository layer in MVP 2 (JD-E8)

EFFORT: S (2 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-16

TESTING CRITERIA:
- Scrape inserts jobs; data persists across uvicorn restarts (file survives)
- GET /api/v1/jobs returns correct jobs from file
- Duplicate URLs are not re-inserted (add_job returns False for duplicates)
- Atomic write prevents corrupt JSON on crash
- fake_db.json listed in .gitignore

EDGE CASES:
- Concurrent writes in multi-worker mode will corrupt the file — document: MVP 1 must run --workers 1","backend,database",JD-E2,
JD-E5,Versioned API & CI Skeleton,Epic,"Implement the jobs router, admin process scripts, multi-stage Docker setup, and GitHub Actions CI skeleton using reusable workflow patterns.

SCOPE: MVP 1
PROJECT AREA: Backend / Infrastructure
STORIES: 5.1 - 5.6","backend,api,cicd,infrastructure",,
JD-28,Jobs router,Task,"Create backend/routers/v1/jobs.py with paginated job listing, job detail, save/unsave, and saved jobs list endpoints.

IMPLEMENTATION DETAILS:
- GET /api/v1/jobs: query params page_size, cursor
- GET /api/v1/jobs/{id}
- POST /api/v1/jobs/{id}/save
- DELETE /api/v1/jobs/{id}/save
- GET /api/v1/jobs/saved
- All endpoints use response_model= for OpenAPI generation

EFFORT: M (4 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-18, JD-17

TESTING CRITERIA:
- GET /api/v1/jobs returns paginated JobListResponse
- has_next=true when more results exist

EDGE CASES:
- GET /api/v1/jobs/saved route must be defined before /api/v1/jobs/{id}","backend,api,pagination",JD-E5,
JD-28b,Profile and CV endpoints,Task,"Create backend/routers/v1/profile.py, cv.py, and feature_flags.py endpoints.

IMPLEMENTATION DETAILS:
profile.py:
- GET /api/v1/profile
- POST /api/v1/profile
- PATCH /api/v1/profile

cv.py:
- POST /api/v1/cv: validate .pdf or .docx
- GET /api/v1/cv/status: return stub for MVP 1

feature_flags.py:
- GET /api/v1/feature-flags

EFFORT: M (3 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-16, JD-18

TESTING CRITERIA:
- POST /api/v1/cv rejects non-PDF/DOCX
- GET /api/v1/feature-flags returns all flags false in MVP 1

EDGE CASES:
- CV file size limit: reject files > 10MB","backend,api,profile",JD-E5,
JD-29,OpenAPI spec completeness,Task,"Ensure all routes are fully typed with Pydantic request/response models and RFC 7807 error shapes.

IMPLEMENTATION DETAILS:
- All endpoints use response_model= parameter
- Standardise all error responses to RFC 7807 shape: {type, title, status, detail}
- Add Field(examples=[...]) to Pydantic models

EFFORT: S (2 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-28, JD-28b

TESTING CRITERIA:
- /docs accessible; all endpoints listed
- RFC 7807 error shape used consistently

EDGE CASES:
- Optional fields must show as nullable","backend,api,documentation",JD-E5,
JD-30,Admin process scripts,Task,"Create backend/admin/ directory with seed_keywords.py, clear_db.py, run_evals.py, and replay_dlq.py stubs.

IMPLEMENTATION DETAILS:
- seed_keywords.py: print each keyword from DEFAULT_KEYWORDS in filters.py
- clear_db.py: call clear_jobs() from fake_db.py
- run_evals.py: stub raising NotImplementedError('Implemented in MVP 1.1')
- replay_dlq.py: stub raising NotImplementedError('Implemented in MVP 2')

EFFORT: S (2 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-17, JD-18

TESTING CRITERIA:
- clear_db.py empties fake_db
- Stub scripts exit 0 with informative log message

EDGE CASES:
- clear_db.py must exit 1 if DATABASE_URL is set (prevent production run)","backend,admin,scripts",JD-E5,
JD-31,GitHub Actions CI skeleton,Task,"Create .github/workflows/ci.yml using reusable workflow patterns with linting, type checking, tests, and Docker build.

IMPLEMENTATION DETAILS:
- Trigger: on: pull_request and push to main
- Jobs: lint-and-type-check, test-backend, test-frontend, docker-build, check-workflow-docs
- docker-build: docker/setup-buildx-action; docker build --cache-from type=gha --cache-to type=gha,mode=max -t job-discovery:ci .

EFFORT: M (5 hours)
PROJECT AREA: Infrastructure / CI
DEPENDENCIES: JD-2

TESTING CRITERIA:
- All jobs trigger on PR and push to main
- Docker build uses GHA layer cache

EDGE CASES:
- Playwright install NOT required in CI","cicd,github,infrastructure",JD-E5,
JD-32,Docker and Nginx Multi-Stage Setup,Task,"Create Dockerfile, nginx.conf, and supervisord.conf for the MVP 1 single-container deployment.

IMPLEMENTATION DETAILS:
- Dockerfile: Multi-stage build.
  - Stage 1: Build Next.js FE
  - Stage 2: Install Python BE dependencies with uv
  - Stage 3: Runtime image combining Nginx, FE server, BE server, and supervisord
- nginx.conf: Reverse proxy / to Next.js on port 3000, and /api to FastAPI on port 8000
- supervisord.conf: Manage uvicorn, Next.js server, and nginx processes (Factor IX Disposability)
- Ensure graceful shutdown: Supervisor stopwaitsecs=30

EFFORT: L (6 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-24, JD-28

TESTING CRITERIA:
- Container runs successfully locally
- Nginx correctly routes traffic between frontend and backend

EDGE CASES:
- All secrets must be injected at runtime via env vars, never baked into the image.","infrastructure,docker,nginx",JD-E5,
JD-33,Applications endpoint,Task,"Create backend/routers/v1/applications.py for logging and tracking applications.

IMPLEMENTATION DETAILS:
- POST /api/v1/applications: accepts job_id and notes; creates Application record
- GET /api/v1/applications: fetches user applications joined with Job details
- PATCH /api/v1/applications/{id}: updates application status (drag-drop) and notes

EFFORT: M (3 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-28

TESTING CRITERIA:
- POST returns 201 Created
- GET returns applications mapped with job details
- PATCH updates status

EDGE CASES:
- Ensure uniqueness by job_id and user_id","backend,api,applications",JD-E5,
